letter,question,answer
ب,دولة أوروبية عاصمتها بروكسل وتشتهر بصناعة الشوكولاتة الفاخرة؟,بلجيكا
ب,مدينة إيطالية تاريخية غرقت واختفت تحت رماد بركان فيزوف المدمر؟,بومبي
ب,غطاء قماشي سميك ومحشو يستخدم للتدفئة أثناء النوم في الليالي الشتوية الباردة؟,بطانية
ب,نبات زراعي ينمو تحت الأرض ويستخدم عالمياً في إعداد الرقائق المقلية؟,بطاطس
ب,عاصمة ألمانيا وأكبر مدنها وكانت مقسومة بجدار شهير سقط عام 1989؟,برلين
ب,مدينة أرجنتينية شهيرة ومزدحمة هي العاصمة السياسية والاقتصادية للبلاد؟,بوينس آيرس
ب,مدينة عراقية عريقة تشتهر بالنخيل ومسقط رأس الأديب الجاحظ وتطل على الخليج؟,بصرة
ب,عاصمة الصين وأحد أكبر مدن العالم وأكثرها ازدحاماً وتطوراً؟,بكين
ب,حيوان ثديي لطيف يأكل الخيزران ويعيش في غابات الصين ويعتبر رمزاً وطنيا لها؟,باندا
ب,ما يزرع ويدفن في التربة لينبت ويخرج منه النبات والشجر وتسمى تقاوي أو؟,بذور
ب,طائر بحري ضخم يمتلك جراباً كبيراً تحت منقاره لتخزين الأسماك التي يصطادها؟,بجع
ب,مادة طبية ومضاد حيوي اكتشفه ألكسندر فلمنج وغير عالم الطب وأنقذ الملايين؟,بنسلين
ب,مدينة تاريخية أثرية في الأردن منحوتة في الصخر الوردي وتعتبر من عجائب الدنيا؟,بتراء
ت,جزيرة ودولة في شرق آسيا عاصمتها تايبيه وتشتهر بصناعة التكنولوجيا والرقائق؟,تايوان
ت,أكبر مدينة في كندا من حيث عدد السكان وتعتبر المركز المالي والتجاري للبلاد؟,تورونتو
ت,ضريح رخامي أبيض رائع الجمال في الهند بناه الإمبراطور شاه جهان تخليداً لزوجته؟,تاج محل
ت,نبات تزرع أوراقه وتجفف لتصنع منها السجائر وتعتبر مادة ضارة جداً بالصحة؟,تبغ
ت,مهنة إنسانية نبيلة يقوم بها مساعدو الأطباء للعناية بالمرضى ومتابعة حالتهم؟,تمريض
ت,عملية بيع وشراء السلع والخدمات بين الأفراد أو الدول لتحقيق الربح والنمو الاقتصادي؟,تجارة
ت,نقل نص أو كلام من لغة إلى لغة أخرى مع الحفاظ على المعنى والسياق يسمى؟,ترجمة
ت,نظام يستخدم لترتيب الأيام والشهور والسنوات مثل الهجري والميلادي؟,تقويم
ت,الأخوان أو الأختان اللذان يولدان من نفس الأم في نفس الوقت وحمل واحد يسميان؟,توأم
ت,شيء يعلق أو يلبس لاعتقاد بعض الشعوب القديمة والجاهلية أنه يجلب الحظ أو يطرد الشر؟,تميمة
ت,الشعور بالإرهاق والإعياء الشديد بعد بذل مجهود بدني أو ذهني شاق يسمى؟,تعب
ت,عملية حيوية لا إرادية يتم فيها إدخال الأكسجين وإخراج ثاني أكسيد الكربون من الرئتين؟,تنفس
ت,العظمة البارزة في أعلى الصدر والتي تربط بين مفصل الكتف وعظمة القص تسمى؟,ترقوة
ت,فاكهة صيفية صغيرة الحجم تتنوع ألوانها بين الأحمر والأسود وتستخدم في صناعة المربى؟,توت
ت,جهاز طبي وزئبقي يستخدم لقياس درجة حرارة جسم الإنسان أو حرارة الطقس؟,ترمومتر
ت,معدن خفيف وصلب جداً ومقاوم للصدأ يستخدم في صناعة الطائرات والمركبات الفضائية؟,تيتانيوم
ت,لباس نسائي يغطي النصف السفلي من الجسم من الخصر إلى الأسفل بأطوال مختلفة؟,تنورة
ت,رياضة شتوية ممتعة تعتمد على الانزلاق فوق الثلج والجليد باستخدام أحذية خاصة أو ألواح؟,تزلج
ث,يوم من أيام الأسبوع في التقويم العربي يأتي بعد يوم الإثنين ويسبق يوم الأربعاء؟,ثلاثاء
ث,المرحلة الدراسية التي تسبق المرحلة الجامعية مباشرة وتلي المرحلة المتوسطة تسمى؟,ثانوية
ث,إيمان الإنسان القوي بقدراته أو بأمانة وصدق شخص آخر تسمى ... بالنفس أو بالآخرين؟,ثقة
ث,التعبير عن الإعجاب والمدح والشكر لشخص ما على صنيعه وعمله الجيد يسمى مديح أو؟,ثناء
ث,صفة تطلق على الشيء الذي يزن كثيراً ويصعب حمله أو تحريكه بسهولة وعكسه خفيف؟,ثقيل
ث,الشخص الذي يكثر من الكلام والحديث دون فائدة أو انقطاع يسمى في اللغة العربية؟,ثرثار
ث,الشخص الذي يملك أموالاً طائلة وعقارات كثيرة ويعيش في رفاهية ويسمى غنياً أو؟,ثري
ث,الأجر والجزاء الحسن الذي يناله المؤمن من الله عز وجل على أعماله الصالحة يسمى؟,ثواب
ث,الانتقام ورد الأذى بمثله وهو عادة جاهلية وقبلية قديمة نبذها الإسلام وحرمها يسمى؟,ثأر
ث,العضو الموجود في أنثى الإنسان والحيوان والذي يفرز الحليب لرضاعة الصغار يسمى؟,ثدي
ث,أكلة عربية وشعبية قديمة تتكون من الخبز المقطع والمغموس بمرق اللحم والخضار؟,ثريد
ث,المبنى العسكري المخصص لإقامة وسكن الجنود وتدريبهم وحفظ أسلحتهم يسمى ... عسكرية؟,ثكنة

ث,الاستقرار والرسوخ وعدم التغير أو التراجع عند مواجهة الصعاب والمواقف الشديدة يسمى؟,ثبات
ث,العدد الذي يأتي مباشرة بعد الرقم مائتين وتسعة وتسعين في الحساب والرياضيات؟,ثلثمائة


ث,الرقم الذي يمثل ثمانية عشرات في الحساب والرياضيات (80) يقرأ ويكتب باللغة العربية؟,ثمانين
ج,دولة عربية إفريقية صغيرة تقع على مضيق باب المندب بالقرن الإفريقي وعاصمتها تحمل نفس اسمها؟,جيبوتي
ج,جزر سياحية ساحرة تقع في المحيط الهندي وتعتبر وجهة عالمية شهيرة لقضاء شهر العسل؟,جزر المالديف
ج,مدينة سويسرية شهيرة جداً تعتبر مقراً للعديد من المنظمات الدولية ومقر الأمم المتحدة بأوروبا؟,جنيف
ج,دولة عربية تتكون من أرخبيل جزر تقع في المحيط الهندي قبالة سواحل إفريقيا الشرقية؟,جزر القمر
ج,هضبة سورية جبلية ومرتفعة ومحتلة تتمتع بأهمية استراتيجية ومصادر مياه وفيرة؟,جولان
ج,الجزء الأمامي من رأس الإنسان والذي يقع بين الحاجبين ومنبت الشعر يسمى؟,جبهة
ج,الغطاء الجلدي الرقيق الذي يغطي العين ويحميها ويتحرك بشكل لا إرادي عند الرمش؟,جفن
ج,البناء العمودي الصلب الذي يحيط بالغرفة أو المنزل لحمايته وتقسيمه ويسمى حائط أو؟,جدار
ج,بناء هندسي مشيد فوق الأنهار أو الوديان أو الطرق لربط الضفتين وتسهيل العبور يسمى كوبري أو؟,جسر
ج,النار الشديدة والعذاب الأليم الذي أعده الله للكافرين والعصاة في الآخرة يسمى جهنم أو؟,جحيم
ج,المكان المليء بالنعيم والأنهار والثمار الذي أعده الله للمؤمنين المتقين في الآخرة يسمى الفردوس أو؟,جنة


ج,الكيس الصغير المخيط في الملابس أو السراويل لحفظ النقود والمفاتيح والأشياء الصغيرة يسمى؟,جيب
ج,المطبوعة الورقية اليومية أو الأسبوعية التي تنقل الأخبار والمقالات وتسمى صحيفة أو؟,جريدة
ج,القطعة المشتعلة والمتوهجة من الفحم أو الحطب التي تشع حرارة وناراً تسمى؟,جمرة
ج,حالة تصيب الأراضي الزراعية نتيجة انقطاع الأمطار لفترات طويلة وتسبب تشقق التربة تسمى؟,جفاف

ح,الوعاء الكبير أو المساحة المقعرة المخصصة لزراعة النباتات أو تجميع المياه للاستحمام تسمى؟,حوض
ح,العضو المسؤول عن إصدار الصوت في جسم الإنسان ويقع في الرقبة ويحتوي على الحبال الصوتية؟,حنجرة

ح,ابن الابن أو ابن البنت يطلق عليه بالنسبة لجده وجدته في تسلسل العائلة اسم؟,حفيد
ح,أم الزوج أو أم الزوجة يطلق عليها في التقاليد وتسميات القرابة العربية اسم؟,حماة

ح,عاطفة قوية وشعور عميق بالمودة والميل تجاه شخص أو شيء معين وتعتبر أساس العلاقات الطيبة؟,حب
ح,الشعور بالألم النفسي والكآبة والضيق نتيجة فقدان شخص عزيز أو المرور بموقف صعب يسمى كآبة أو؟,حزن
ح,الشعور بالعداوة والكراهية الشديدة والضغينة وتمني زوال النعمة عن الآخرين يسمى؟,حقد
ح,ما يراه النائم في نومه من خيالات وأحداث متسلسلة قد تكون سعيدة أو مزعجة يسمى رؤيا أو؟,حلم
ح,الشيء الثابت والصحيح الذي يطابق الواقع ولا يقبل الشك أو الجدال وعكس الكذب والوهم يسمى؟,حقيقة
ح,القصة أو الرواية التي تروى للتسلية أو أخذ العبرة وتكون غالباً من نسج الخيال والأساطير تسمى؟,حكاية
ح,القول المأثور والبليغ الذي ينتج عن تجربة وخبرة عميقة في الحياة ويتناقله الناس للفائدة يسمى؟,حكمة
ح,أداة مكونة من خيوط أو ألياف مجدولة وقوية جداً ومتينة تستخدم للربط والسحب والتسلق؟,حبل
ح,قطع الخشب الجافة المقطوعة من جذوع وفروع الأشجار والمعدة للإشعال والتدفئة في الشتاء يسمى؟,حطب
ح,الحرفي والمهني الذي يعمل في تسخين وتشكيل وصناعة الأدوات والأبواب من الحديد يسمى؟,حداد
ح,الشخص الذي يمتهن ويحترف قص الشعر وتشذيب اللحية للرجال في الصالونات يسمى؟,حلاق
ح,كائن أسطوري خيالي يصور في القصص على شكل نصف امرأة جميلة ونصف سمكة وتعيش في البحر تسمى؟,حورية
خ,الأثر الذي يتركه القلم على الورق وله أنواع في اللغة العربية كالرقعة والنسخ والديواني والثلث يسمى؟,خط

خ,حرفة وعملية توصيل وربط قطع القماش ببعضها لصنع الملابس والأثواب يدوياً أو بالآلة تسمى؟,خياطة
خ,الشخص الذي يحضر ويعجن الدقيق ويخبزه في الفرن لصنع الخبز والمعجنات الطازجة للناس يسمى؟,خباز
خ,الشخص الذي يعمل في المنازل لتنظيفها وترتيبها والمساعدة في الأعمال اليومية مقابل أجر يسمى؟,خادم
خ,الأشياء المعدنية والآلات القديمة أو التالفة التي يعاد بيعها وصهرها لاستخدامها مجدداً تسمى سكراب أو؟,خردة
خ,الدولاب الخشبي أو المعدني المخصص لترتيب وحفظ الملابس والأغراض أو الأموال والمستندات يسمى؟,خزانة
خ,حفرة عميقة وطويلة تحفر في الأرض حول المدن أو في المعارك لحماية الجنود وعرقلة الأعداء؟,خندق
خ,سلاح أبيض قصير ذو نصل حاد ومقوس يلبس للزينة في بعض الثقافات العربية كالـ ... العماني؟,خنجر
خ,غطاء صلب يلبسه الجنود في الحروب أو عمال البناء أو سائقو الدراجات لحماية الرأس من الإصابات تسمى؟,خوذة
خ,نبات ورقي أخضر ومقرمش يستخدم كعنصر أساسي في إعداد السلطات والشطائر ويعتبر مفيداً للصحة؟,خس
خ,نبات شتوي لذيذ ومفيد للكبد أوراقه خضراء قاسية وقلبه طري ويسمى في بعض الدول أرضي شوكي أو؟,خرشوف
خ,سائل حامض جداً يستخرج من تخمير التفاح أو العنب ويستخدم في الطبخ وتتبيل السلطات والتنظيف يسمى؟,خل
خ,حيوان ثديي محرم أكله في الإسلام ويربى في المزارع الغربية لاستخدام لحمه ودهنه في صناعاتهم؟,خنزير
خ,حشرة صغيرة مغطاة بقشرة صلبة تشبه الدرع وتتغذى على الأوراق وبعضها مفيد للبيئة الزراعية تسمى؟,خنفساء
خ,القدرة العقلية على تصور أشياء وأحداث غير موجودة في الواقع وابتكار أفكار جديدة ومبدعة تسمى؟,خيال
خ,الشعور بالارتباك والحياء واحمرار الوجه عند مواجهة مواقف اجتماعية أو ارتكاب خطأ بسيط يسمى؟,خجل
خ,نقض العهد والأمانة والغدر بالصديق أو إفشاء أسرار الوطن للعدو وهي من أسوأ الصفات الأخلاقية تسمى؟,خيانة
د,عاصمة جمهورية أيرلندا وأكبر مدنها وتشتهر بثقافتها ومكتباتها العريقة وتاريخها الأدبي الطويل؟,دبلن
د,مدينة هندية كبرى ومزدحمة جداً وفيها يقع مقر العاصمة السياسية للهند وتسمى نيو...؟,دلهي
د,النهر العظيم الذي يمر في العراق ويمر بالعاصمة بغداد ويشكل مع نهر الفرات بلاد الرافدين يسمى نهر؟,دجلة
د,لوح معدني أو خشبي صلب كان يحمله المقاتل قديماً في يده أثناء المعارك لصد ضربات السيوف والسهام؟,درع

د,المحل التجاري الصغير في الأحياء السكنية الذي يبيع السلع الغذائية والاحتياجات اليومية يسمى بقالة أو؟,دكان
د,الأموال والمبالغ التي يقترضها الشخص من الآخرين أو البنوك ويجب عليه إعادتها وسدادها في وقتها تسمى؟,ديون
د,المرشد السياحي أو الكتاب الذي يحتوي على توجيهات ومعلومات تدلك على الطريق الصحيح أو خطوات التركيب يسمى؟,دليل
د,الوثيقة القانونية الأعلى في الدولة التي تحدد نظام الحكم وحقوق وواجبات المواطنين وتخضع لها جميع القوانين؟,دستور
د,كلمة عربية أصيلة تعني المنزل أو البيت أو المسكن الذي يأوي إليه الإنسان وعائلته وتسمى بيت أو؟,دار
د,وعاء عميق مزود بمقبض يستخدم لرفع المياه من البئر أو نقل السوائل وتنظيف الأرضيات يسمى سطل أو؟,دلو
د,ذكر الدجاج ويتميز بعرفه الأحمر الجميل ويشتهر بصياحه المرتفع في الصباح الباكر لإيقاظ الناس؟,ديك
د,حشرة طائرة لاذعة تشبه النحلة في شكلها ولكنها مفترسة وتبني أعشاشاً ورقية ومؤلمة جداً عند اللسع يسمى زنبور أو؟,دبور
د,فاكهة صيفية ذات قشرة ناعمة مخملية ولون يميل بين الأصفر والأحمر ونواتها صلبة وتسمى في بعض الدول خوخ أو؟,دراق
د,المسحوق الأبيض الناعم جداً الناتج عن طحن حبوب القمح ويستخدم في صنع الخبز والمعجنات ويسمى طحين أو؟,دقيق
د,المادة الدهنية الموجودة في اللحوم أو الحليب والتي تزيد من السعرات الحرارية وتمنح الطعم الغني وتسمى شحم أو؟,دسم
د,الذكاء الشديد والمكر والقدرة العالية على التخطيط وإيجاد الحلول المعقدة والخفية لقلب الموازين يسمى؟,دهاء
د,التضرع واللجوء إلى الله عز وجل بالطلب والرجاء والمناجاة ورفع اليدين في السراء والضراء يسمى؟,دعاء
ذ,مرض واضطراب عقلي شديد يفقد فيه المريض اتصاله بالواقع ويعاني من الهلوسة البصرية والسمعية والأوهام يسمى؟,ذهان
ذ,الشعور بالمهانة والانكسار والضعف وفقدان الكرامة أمام الآخرين نتيجة قهر أو تسلط يسمى هوان أو؟,ذل
ذ,كلمة تدل على النفس والشخصية الإنسانية الداخلية وتقال عند التحدث عن النفس بضمير الأنا أو يقال تحقيق الـ؟,ذات
ذ,الأحداث والمواقف والصور الماضية المخزنة في العقل والتي نسترجعها بين الحين والآخر ونتحسر عليها أحياناً تسمى؟,ذكريات
ذ,الحجة أو العذر أو السبب الوهمي الذي يختلقه الشخص لتبرير أفعاله وتصرفاته غير المقنعة تسمى حجة أو؟,ذريعة
ذ,أعلى نقطة وقمة في الجبل أو أعلى مستوى للنجاح والازدهار والتألق في مسيرة الإنسان أو مسار الأحداث تسمى الـ؟,ذروة
ذ,حالة الصدمة والاندهاش الشديد والمفاجئ الذي يجعل الشخص عاجزاً عن الكلام أو التفكير المؤقت ويقف حائراً تسمى؟,ذهول
ذ,العملية الفيزيائية لتحول المادة من الحالة الصلبة إلى الحالة السائلة بفعل ارتفاع الحرارة مثل وضع الثلج بالشمس تسمى؟,ذوبان
ذ,الرصاص والطلقات والقذائف التي تستخدم في الأسلحة النارية والبنادق والمدافع أثناء الحروب والصيد تسمى؟,ذخيرة
ذ,صفة تطلق على النبات أو الورد عندما يفقد ماءه ونضارته ويجف ويميل لونه للاصفرار ويقترب من الموت يقال نبات؟,ذابل
ذ,الشخص الفطن وسريع البديهة الذي يمتلك قدرة عالية على الاستيعاب والفهم وحل المشكلات المعقدة بسرعة يسمى عبقري أو؟,ذكي
ذ,يقال للخبر أو السر الذي ينتشر بسرعة هائلة بين الناس ويشتهر بأنه خبر منتشر ومشهور أو ... الصيت؟,ذائع
ذ,ذكر عيوب ومساوئ الشخص وانتقاده بشكل سلبي أمام الآخرين وعكسه المدح والثناء وتعداد المحاسن يسمى؟,ذم

ذ,الطرفان العلويان للإنسان اللذان ينتهيان بالكفين ويستخدمان في الحمل والعمل والمصافحة والعناق (بصيغة المثنى)؟,ذراعان



ر,الشريط أو الخيط أو القماش الذي يستخدم لشد وتثبيت الأشياء ببعضها كـ ... الحذاء أو ... الجروح الطبي؟,رباط
ر,مدينة برازيلية شهيرة جداً بسواحلها وتمثال المسيح الفادي وكانت العاصمة السابقة للبرازيل وتشتهر بكرنفالاتها السنوية؟,ريو دي جانيرو
ر,نهر أوروبي عظيم ومهم ينبع من جبال الألب السويسرية ويمر بألمانيا وفرنسا ويصب في بحر الشمال ويسمى نهر الـ؟,راين
ر,الشعيرات الدقيقة والصغيرة التي تنبت على أطراف الأجفان العلوية والسفلية لحماية العين من الغبار والأوساخ تسمى أهداب أو؟,رموش
ر,الجزء من الجسم الذي يربط بين الرأس والجذع ويحتوي على الحنجرة والفقرات العنقية ويسمى عنق أو؟,رقبة
ر,المفصل الدائري الذي يربط بين اليد (الكف) والساعد ويسمح بحركة الكف في جميع الاتجاهات ويوضع عليه ساعة اليد يسمى معصم أو؟,رسغ
ر,المنصب القيادي الأعلى في الدولة أو المؤسسة والذي يتولاه الشخص لإدارتها واتخاذ القرارات المصيرية تسمى؟,رئاسة
ر,المال أو الهدايا التي تدفع بشكل غير قانوني وسري لمسؤول أو موظف لتسهيل معاملة أو أخذ حق بغير وجه حق تسمى؟,رشوة
ر,الممر الجانبي المرتفع قليلاً عن مستوى الشارع والمخصص لسير المشاة بأمان لحمايتهم من حوادث السيارات يسمى؟,رصيف

ر,أداء حركات إيقاعية متناسقة بالجسم تعبيراً عن الفرح في المناسبات أو كجزء من التراث الشعبي كالـ ... الفلكلوري يسمى؟,رقص
ر,فن التعبير عن الأفكار والمناظر باستخدام الأقلام أو الألوان أو الفحم على الورق أو اللوحات القماشية يسمى فن الـ؟,رسم
ر,القطعة المعدنية النارية والقاتلة التي تخرج من فوهة البندقية أو المسدس بسرعة هائلة عند الإطلاق وتسمى طلقة أو؟,رصاصة
ر,الصوت القوي والمدوي والمخيف أحياناً الذي يرافق وميض البرق في السماء أثناء العواصف والأمطار الغزيرة يسمى؟,رعد
ر,الهواء المتحرك بسرعات مختلفة والذي يهب على الأرض وقد يكون هادئاً ولطيفاً أو عاصفاً وقوياً ومدمراً يسمى هواء أو؟,ريح
ر,نسبة تشبع الهواء ببخار الماء وتكثر في المدن الساحلية والقريبة من البحر وتزيد من الإحساس بالحرارة والتعرق صيفاً تسمى؟,رطوبة
ر,المرحلة التي يمر بها التمر قبل أن يجف ويصبح تمراً ويكون فيها طرياً وحلواً وغنياً بالماء ولذيذاً جداً يسمى؟,رطب
ر,القطعة الواحدة المخبوزة والمستديرة أو البيضاوية من الخبز التي تقدم على المائدة وتؤكل مع الوجبات تسمى خبزة أو؟,رغيف
ز,دولة إفريقية غير ساحلية تقع في جنوب القارة عاصمتها هراري وتشتهر بتقاسمها شلالات فيكتوريا العظيمة مع زامبيا؟,زيمبابوي
ز,أكبر مدينة في سويسرا وتعتبر المركز المالي والتجاري العالمي وتشتهر ببحيرتها الجميلة وبنوكها وصناعة الشوكولاتة؟,زيوريخ
ز,إعصار أو رياح قوية جداً تدور بشكل حلزوني وعنيف وترفع الأتربة والأشياء في الهواء مسببة دماراً وتسمى إعصار أو؟,زوبعة
ز,الممر أو الشارع الضيق جداً والذي لا يتسع لمرور السيارات وعادة ما يكون بين المنازل والمباني القديمة والحارات يسمى داحوس أو؟,زقاق
ز,الغرفة الضيقة والكئيبة والمغلقة بقضبان حديدية متينة داخل السجن والتي يوضع ويحبس فيها السجين تسمى خلية أو؟,زنزانة
ز,الشخص أو العميل الذي يشتري السلع والخدمات من المتاجر والمحلات بشكل مستمر ويعتبر مصدر الربح للتاجر يسمى عميل أو؟,زبون
ز,العقد والارتباط الشرعي والرسمي بين الرجل والمرأة لتكوين أسرة وبناء حياة مشتركة ومستقرة يسمى نكاح أو؟,زواج
ز,الرجل الذي ارتبط بامرأة بعقد زواج شرعي ورسمي وموثق يسمى بالنسبة لها شريك حياة أو؟,زوج
ز,المرأة التي ارتبطت برجل بعقد زواج شرعي ورسمي وموثق تسمى بالنسبة له شريكة حياة أو قرينة أو؟,زوجة
ز,عملية غرس البذور والشتلات في التربة وتوفير الماء والضوء لها لتنمو وتنتج المحاصيل وتسمى فلاحة أو زراعة أو نبات و؟,زرع
ز,نبات عشبي عطري يطحن ويخلط بالسمسم والزيت ويؤكل مع الخبز كوجبة فطور شهيرة وأساسية في بلاد الشام يسمى؟,زعتر
ز,حبات العنب المجففة التي تتميز بحلاوتها وتضاف للحلويات والأرز وبعض الأكلات الشعبية لتزيينها وإعطائها طعماً لذيذاً يسمى؟,زبيب
ز,حشرة طائرة أكبر من النحلة لاذعة ومؤلمة جداً وتتميز بلونها الأصفر والأسود وتبني أعشاشاً ورقية وتسمى دبور أو؟,زنبور
ز,القطعة البلاستيكية أو المعدنية الصغيرة التي تخاط في القميص لإغلاقه وربط طرفيه ببعض عن طريق إدخالها في العروة تسمى؟,زر
ز,الخطأ غير المتعمد أو السقطة والزلل في الكلام أو المشي يقال عنها في اللغة العربية ... لسان أو ... قدم؟,زلة
ز,عملية إخراج الهواء المحمل بثاني أكسيد الكربون من الرئتين عن طريق الأنف أو الفم وعكس عملية الشهيق تسمى؟,زفير
ز,الشخص الذي يشاركك العمل في نفس المكتب أو الوظيفة أو الدراسة في نفس الفصل المدرسي أو الجامعي يسمى رفيق أو؟,زميل
ز,القائد والرئيس الذي يمتلك الكاريزما والتأثير ويقود حزباً سياسياً أو دولة أو ثورة ويوجه الجماهير لتحقيق الأهداف يسمى؟,زعيم
س,أكبر وأقدم مدينة في أستراليا وتشتهر بمبنى الأوبرا ذي التصميم الهندسي الفريد على الميناء وجسر هاربور الشهير؟,سيدني
س,عاصمة كوريا الجنوبية وأكبر مدنها وتعتبر من أهم المراكز التكنولوجية والاقتصادية في العالم وتشتهر بالتطور السريع؟,سيول
س,عاصمة دولة السويد الأوروبية وتقع على عدة جزر متصلة بالجسور وتشتهر بتسليم جوائز نوبل السنوية فيها كل عام؟,ستوكهولم
س,نهر أوروبي شهير ورومانسي يمر في قلب العاصمة الفرنسية باريس ويقسمها إلى ضفتين وتقام فيه جولات بالقوارب السياحية؟,سين
س,التجويف الصغير في منتصف بطن الإنسان وهو أثر ومكان قطع الحبل السري بعد الولادة وانفصال الجنين عن أمه يسمى؟,سرة
س,الجزء من الطرف السفلي للإنسان والذي يمتد من مفصل الركبة إلى مفصل الكاحل ويستخدم للمشي والوقوف وحمل وزن الجسم يسمى؟,ساق
س,الإصبع الثاني في يد الإنسان ويقع بين الإبهام والوسطى ويستخدم للإشارة نحو الأشياء والتوجيه وعند نطق الشهادتين في الصلاة يسمى؟,سبابة
س,الأداة أو الآلة القتالية الهجومية أو الدفاعية التي تستخدم في المعارك والحروب كالبندقية والسيف والمدفع والصاروخ تسمى بشكل عام؟,سلاح
س,المبنى والمكان المحصن والمغلق الذي يحتجز فيه المجرمون والمخالفون للقانون لقضاء فترة عقوبتهم وسلب حريتهم يسمى معتقل أو؟,سجن
س,المكان المفتوح أو المغلق الذي يجتمع فيه الباعة والمشترون لتبادل وعرض السلع والبضائع والمساومة على الأسعار يسمى؟,سوق
س,السفر والانتقال من بلد إلى آخر محلياً أو دولياً بهدف الترفيه أو الاستكشاف أو العلاج وتعتبر مصدر دخل قومي ومهم للدول تسمى؟,سياحة
س,الممثل الدبلوماسي الرسمي والمعتمد لدولة ما في دولة أخرى ويرأس سفارة بلاده هناك لتعزيز العلاقات وحل القضايا يسمى المبعوث أو الـ؟,سفير
س,الموظف الإداري المسؤول عن تنظيم المواعيد وكتابة الرسائل وحفظ الملفات والرد على المكالمات ومساعدة المدير في مهامه يسمى؟,سكرتير
س,المهني والفني المتخصص في تركيب وإصلاح أنابيب المياه والصرف الصحي والصنابير والمراحيض في المنازل والمباني يسمى سمكري أو؟,سباك
س,الشخص الذي يؤدي ألعاب الخفة والخداع البصري المذهلة للترفيه في المسارح أو من يمارس الشعوذة والسحر الأسود المذموم يسمى مشعوذ أو؟,ساحر
س,الوهم البصري الخادع الذي يظهر في الصحراء وعلى الطرق المعبدة وقت الظهيرة ويجعل الرمال تبدو وكأنها بركة ماء تلمع يسمى؟,سراب
س,قطعة الأثاث الأساسية المخصصة للنوم والراحة في غرفة النوم وتتكون من إطار خشبي أو معدني ومرتبة مريحة ومخدات تسمى؟,سرير
س,قطعة القماش التي تعلق وتنسدل على النوافذ والأبواب لحجب أشعة الشمس أو توفير الخصوصية وتزيين ديكور الغرفة وتسمى رداء النوافذ أو؟,ستارة
ش,أكبر مدينة في الصين من حيث عدد السكان وتعتبر المركز التجاري والمالي الأهم في البلاد وتطل على الساحل الشرقي ومصب نهر يانغتسي؟,شنغهاي
ش,مدينة ألمانية صناعية كبرى وشهيرة تعتبر المقر الرئيسي لشركات السيارات الفاخرة مثل مرسيدس بنز وبورش وتعتبر قلب الصناعة الألمانية؟,شتوتغارت
ش,الوعاء الدموي النابض والسميك الذي ينقل الدم النقي والمحمل بالأكسجين والغذاء من القلب إلى باقي أنحاء وأعضاء الجسم وعكسه الوريد يسمى؟,شريان
